commune,postal_code,population,code
Meylan,38240,18573.0,38229
Echirolles,38130,36849.0,38151
Champ sur Drac,38560,3339.0,38071
Domène,38420,6720.0,38150
Saint Martin d'Hères,38400,38454.0,38421
Eybens,38320,9974.0,38158
Vizille,38220,7293.0,38562
Venon,27110,397.0,27677
Gières,38610,7161.0,38179
Claix,16440,1062.0,16101
Seyssinet Pariset,38170,11753.0,38485
Poisat,38320,2123.0,38309
Saint Barthélémy de Séchilienne,38220,426.0,38364
Fontaine,10200,248.0,10150
Varces Allières et Risset,38760,8287.0,38524
Saint Georges de Commiers,38450,2646.0,38388
Saint Pierre de Mésage,38220,791.0,38445
Séchilienne,38220,1024.0,38478
Vaulnaveys le Bas,38410,1360.0,38528
Le Gua,17600,2100.0,17185
Le Pont de Claix,38800,10805.0,38317
Miribel Lanchâtre,38450,450.0,38235
La Tronche,38700,6470.0,38516
Fontanil Cornillon,38120,3405.0,38170
Saint Paul de Varces,38760,2224.0,38436
Jarrie,38560,3903.0,38200
Vaulnaveys le Haut,38410,4000.0,38529
Le Sappey en Chartreuse,38700,1137.0,38471
Notre Dame de Mésage,38220,1106.0,38279
Champagnier,38800,1406.0,38068
Vif,38450,8584.0,38545
Corenc,38700,4139.0,38126
Murianette,38420,867.0,38271
Saint Martin Le Vinoux,38950,5825.0,38423
Saint Egrève,38120,16995.0,38382
Grenoble,38000,157477.0,38185
Sarcenas,38700,242.0,38472
Notre Dame de Commiers,38450,535.0,38277
Noyarey,38360,2277.0,38281
Seyssins,38180,7997.0,38486
Brié et Angonnes,38320,2521.0,38059
Sassenage,38360,11660.0,38474
Bresson,38320,667.0,38057
Herbeys,38320,1378.0,38188
Proveysieux,38120,517.0,38325
Quaix en Chartreuse,38950,908.0,38328
Veurey,,,
Montchaboud,38220,342.0,38252
