Energy_kcal,Protein_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
717.0,0.85,0.06,0.06,0.0,684.0,0.003,0.17,0.0,2.32,3.0,0.005,24.0,0.0,0.02,2.0,0.0,24.0,1.0,0.09
717.0,0.85,0.06,0.06,0.0,684.0,0.003,0.13,0.0,2.32,3.0,0.005,24.0,0.016,0.16,2.0,0.004,23.0,1.0,0.05
876.0,0.28,0.0,0.0,0.0,840.0,0.001,0.01,0.0,2.8,0.0,0.001,4.0,0.001,0.0,0.0,0.0,3.0,0.0,0.01
353.0,21.4,2.34,0.5,0.0,198.0,0.166,1.22,0.0,0.25,36.0,0.029,528.0,0.04,0.31,23.0,0.009,387.0,14.5,2.66
371.0,23.24,2.79,0.51,0.0,292.0,0.065,1.26,0.0,0.26,20.0,0.014,674.0,0.024,0.43,24.0,0.012,451.0,14.5,2.6
334.0,20.75,0.45,0.45,0.0,174.0,0.235,1.65,0.0,0.24,65.0,0.07,184.0,0.019,0.5,20.0,0.034,188.0,14.5,2.38
300.0,19.8,0.46,0.46,0.0,241.0,0.227,1.3,0.0,0.21,62.0,0.028,388.0,0.021,0.33,20.0,0.038,347.0,14.5,2.38
376.0,25.18,3.06,0.0,0.0,271.0,0.074,0.27,0.0,0.0,18.0,0.031,673.0,0.024,0.64,22.0,0.021,490.0,14.5,2.94
406.0,24.04,1.33,0.28,0.0,263.0,0.049,0.88,0.0,0.78,26.0,0.027,675.0,0.056,0.16,27.0,0.033,473.0,28.3,3.43
387.0,23.37,4.78,0.0,0.0,233.0,0.074,0.83,0.0,0.0,18.0,0.046,643.0,0.042,0.21,21.0,0.012,464.0,14.5,2.79
394.0,23.76,2.57,0.52,0.0,264.0,0.079,0.83,0.0,0.28,18.0,0.015,685.0,0.042,0.76,26.0,0.012,457.0,14.5,3.07
98.0,11.12,3.38,2.67,0.0,37.0,0.046,0.43,0.0,0.08,12.0,0.027,83.0,0.029,0.07,8.0,0.002,159.0,9.7,0.4
97.0,10.69,4.61,2.38,0.2,38.0,0.068,0.53,1.4,0.04,11.0,0.033,53.0,0.04,0.16,7.0,0.003,113.0,7.7,0.33
72.0,10.34,6.66,1.85,0.0,2.0,0.016,0.46,0.0,0.01,9.0,0.023,86.0,0.03,0.15,11.0,0.022,190.0,9.4,0.47
